Individual,Collection.date,Location,Subspecies,Hive,Task
0011,2021-09-22,WUE,Ca,01,Nu
0012,2021-09-22,WUE,Ca,01,Nu
0013,2021-09-22,WUE,Ca,01,Nu
0014,2021-09-22,WUE,Ca,01,Nu
0015,2021-09-22,WUE,Ca,01,Nu
0016,2021-09-22,WUE,Ca,01,Nu
0017,2021-09-22,WUE,Ca,01,Nu
0018,2021-09-22,WUE,Ca,01,Nu
0019,2021-09-22,WUE,Ca,01,Nu
0020,2021-09-22,WUE,Ca,01,Nu
0051,2021-09-22,WUE,Ca,01,PF
0052,2021-09-22,WUE,Ca,01,PF
0053,2021-09-22,WUE,Ca,01,PF
0054,2021-09-22,WUE,Ca,01,PF
0055,2021-09-22,WUE,Ca,01,PF
0056,2021-09-22,WUE,Ca,01,PF
0057,2021-09-22,WUE,Ca,01,PF
0058,2021-09-22,WUE,Ca,01,PF
0059,2021-09-22,WUE,Ca,01,PF
0060,2021-09-22,WUE,Ca,01,PF
0061,2021-09-22,WUE,Ib,06,Nu
0062,2021-09-22,WUE,Ib,06,Nu
0063,2021-09-22,WUE,Ib,06,Nu
0064,2021-09-22,WUE,Ib,06,Nu
0065,2021-09-22,WUE,Ib,06,Nu
0066,2021-09-22,WUE,Ib,06,Nu
0067,2021-09-22,WUE,Ib,06,Nu
0068,2021-09-22,WUE,Ib,06,Nu
0069,2021-09-22,WUE,Ib,06,Nu
0070,2021-09-22,WUE,Ib,06,Nu
0092,2021-09-22,WUE,Ib,06,PF
0093,2021-09-22,WUE,Ib,06,PF
0094,2021-09-22,WUE,Ib,06,PF
0095,2021-09-22,WUE,Ib,06,PF
0096,2021-09-22,WUE,Ib,06,PF
0097,2021-09-22,WUE,Ib,06,PF
0098,2021-09-22,WUE,Ib,06,PF
0099,2021-09-22,WUE,Ib,06,PF
0100,2021-09-22,WUE,Ib,06,PF
0102,2021-09-22,WUE,Ib,06,PF
0121,2021-09-23,WUE,Ca,05,Nu
0122,2021-09-23,WUE,Ca,05,Nu
0123,2021-09-23,WUE,Ca,05,Nu
0124,2021-09-23,WUE,Ca,05,Nu
0125,2021-09-23,WUE,Ca,05,Nu
0126,2021-09-23,WUE,Ca,05,Nu
0127,2021-09-23,WUE,Ca,05,Nu
0128,2021-09-23,WUE,Ca,05,Nu
0129,2021-09-23,WUE,Ca,05,Nu
0130,2021-09-23,WUE,Ca,05,Nu
0131,2021-09-23,WUE,Ib,10,Nu
0132,2021-09-23,WUE,Ib,10,Nu
0133,2021-09-23,WUE,Ib,10,Nu
0134,2021-09-23,WUE,Ib,10,Nu
0135,2021-09-23,WUE,Ib,10,Nu
0136,2021-09-23,WUE,Ib,10,Nu
0137,2021-09-23,WUE,Ib,10,Nu
0138,2021-09-23,WUE,Ib,10,Nu
0139,2021-09-23,WUE,Ib,10,Nu
0140,2021-09-23,WUE,Ib,10,Nu
0141,2021-09-23,WUE,Ca,05,PF
0142,2021-09-23,WUE,Ca,05,PF
0143,2021-09-23,WUE,Ca,05,PF
0144,2021-09-23,WUE,Ca,05,PF
0145,2021-09-23,WUE,Ca,05,PF
0146,2021-09-23,WUE,Ca,05,PF
0147,2021-09-23,WUE,Ca,05,PF
0148,2021-09-23,WUE,Ca,05,PF
0149,2021-09-23,WUE,Ca,05,PF
0150,2021-09-23,WUE,Ca,05,PF
0151,2021-09-23,WUE,Ib,10,PF
0152,2021-09-23,WUE,Ib,10,PF
0153,2021-09-23,WUE,Ib,10,PF
0154,2021-09-23,WUE,Ib,10,PF
0155,2021-09-23,WUE,Ib,10,PF
0156,2021-09-23,WUE,Ib,10,PF
0157,2021-09-23,WUE,Ib,10,PF
0158,2021-09-23,WUE,Ib,10,PF
0159,2021-09-23,WUE,Ib,10,PF
0160,2021-09-23,WUE,Ib,10,PF
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
