No.,Color,Name,Type,Ct,Ct Comment,Given Conc (copies/reaction),Calc Conc (copies/reaction),% Var,Rep. Ct,Rep. Ct Std. Dev.,Rep. Ct (95% CI),Rep. Calc. Conc.,Rep. Calc. Conc. (95% CI)
25,11403264,SL3,Standard,5.89,,50000000,47403263,5.20%,5.8,0.08,"[5.60 , 6.00]",50488244,"[35,225,634 , 72,363,857]"
26,11403264,SL3,Standard,5.76,,50000000,51794672,3.60%,,,,,
27,11403264,SL3,Standard,5.75,,50000000,52417640,4.80%,,,,,
28,11403264,SL4,Standard,9.59,,5000000,3747078,25.10%,9.2,0.33,"[8.38 , 10.03]",4873614,"[3,723,889 , 6,378,307]"
29,11403264,SL4,Standard,9.04,,5000000,5447657,9.00%,,,,,
30,11403264,SL4,Standard,8.98,,5000000,5670884,13.40%,,,,,
31,11403264,SL5,Standard,12.36,,500000,556243,11.20%,12.51,0.18,"[12.06 , 12.96]",504232,"[408,130 , 622,964]"
32,11403264,SL5,Standard,12.45,,500000,525359,5.10%,,,,,
33,11403264,SL5,Standard,12.71,,500000,438704,12.30%,,,,,
34,11403264,SL6,Standard,15.86,,50000,50303,0.60%,15.82,0.05,"[15.71 , 15.93]",51748,"[41,911 , 63,893]"
35,11403264,SL6,Standard,15.77,,50000,53495,7.00%,,,,,
36,11403264,SL6,Standard,15.83,,50000,51494,3.00%,,,,,
37,11403264,SL7,Standard,19.33,,5000,4643,7.10%,19.28,0.1,"[19.04 , 19.52]",4803,"[3,662 , 6,300]"
38,11403264,SL7,Standard,19.34,,5000,4606,7.90%,,,,,
39,11403264,SL7,Standard,19.17,,5000,5182,3.60%,,,,,
40,11403264,SL8,Standard,22.55,,500,510,2.00%,22.56,0.04,"[22.46 , 22.66]",507,"[354 , 726]"
41,11403264,SL8,Standard,22.6,,500,491,1.70%,,,,,
42,11403264,SL8,Standard,22.52,,500,519,3.80%,,,,,
43,197379,ntc,NTC,35.51,,,,,35.64,0.37,"[34.72 , 36.56]",,"[ , ]"
44,197379,ntc,NTC,35.35,,,,,,,,,
45,197379,ntc,NTC,36.06,,,,,,,,,
