"","mean_RT","H2302_2","L2302_2"
"P1",4.40566666666667,4.399,0
"P2",4.50666666666667,4.5,0
"P3",4.61766666666667,0,4.621
"P4",4.80866666666667,0,4.812
"P5",4.88866666666667,4.882,0
"P6",4.99066666666667,4.984,0
"P7",5.02866666666667,5.022,0
"P8",5.15566666666667,5.149,0
"P9",5.37866666666667,5.372,0
"P10",5.63766666666667,5.658,5.614
"P11",5.73466666666667,5.728,0
"P12",6.04066666666667,6.034,0
"P13",6.25666666666667,6.25,0
"P14",6.32266666666667,0,6.326
"P15",6.46066666666667,6.454,0
"P16",6.54266666666667,6.536,0
"P17",7.54466666666667,0,7.548
"P18",7.96466666666667,0,7.968
"P19",8.28866666666667,0,8.292
"P20",8.51466666666667,8.508,0
"P21",9.43566666666667,9.45,9.418
"P22",9.57166666666667,9.565,0
"P23",10.1306666666667,10.124,0
"P24",10.3116666666667,0,10.315
"P25",10.5536666666667,0,10.557
"P26",12.2746666666667,12.268,0
"P27",12.4496666666667,0,12.453
"P28",12.6406666666667,0,12.644
"P29",13.1636666666667,13.146,13.178
"P30",13.9906666666667,13.992,13.986
"P31",14.5631666666667,14.552,14.571
"P32",15.1826666666667,15.176,0
"P33",15.4686666666667,15.462,0
"P34",15.7446666666667,0,15.748
"P35",18.2136666666667,0,18.217
"P36",18.3206666666667,18.319,18.319
"P37",18.9236666666667,18.917,0
"P38",19.4226666666667,0,19.426
"P39",20.5566666666667,20.539,20.571
"P40",22.2516666666667,22.25,22.25
"P41",22.3936666666667,0,22.397
"P42",22.8126666666667,0,22.816
"P43",23.1696666666667,0,23.173
"P44",23.8156666666667,23.809,0
"P45",24.3276666666667,0,24.331
"P46",24.7536666666667,0,24.757
"P47",24.9446666666667,0,24.948
"P48",25.4536666666667,0,25.457
"P49",25.6716666666667,25.667,25.673
"P50",26.2856666666667,26.284,26.284
"P51",26.9806666666667,0,26.984
"P52",28.1606666666667,28.154,0
"P53",28.7251666666667,28.72,28.727
"P54",28.9161666666667,28.905,28.924
"P55",29.1846666666667,29.178,0
"P56",30.4286666666667,0,30.432
"P57",30.7706666666667,30.775,30.763
"P58",31.5306666666667,31.526,31.532
"P59",32.5566666666667,32.55,0
"P60",34.0916666666667,34.09,34.09
"P61",34.2616666666667,34.255,0
"P62",35.9036666666667,35.897,0
"P63",36.4391666666667,36.438,36.437
"P64",37.4746666666667,37.468,0
"P65",38.1776666666667,0,38.181
"P66",38.6596666666667,38.658,38.658
"P67",38.9886666666667,38.982,0
"P68",40.4526666666667,40.446,0
"P69",40.7346666666667,0,40.738
"P70",41.8586666666667,41.852,0
"P71",42.6866666666667,42.691,42.679
"P72",43.2196666666667,43.213,0
"P73",44.5156666666667,44.53,44.498
"P74",45.8086666666667,45.802,0
"P75",46.1936666666667,0,46.197
"P76",47.0436666666667,47.037,0
"P77",48.2456666666667,48.239,0
"P78",49.5436666666667,49.537,0
"P79",50.9716666666667,0,50.975
"P80",51.0636666666667,51.057,0
"P81",52.8266666666667,52.82,0
"P82",54.9506666666667,54.944,0
"P83",57.4706666666667,57.464,0
